,PostUrl,NrLikes,IsVideo,Credits
318,https://www.instagram.com/p/B8R8mPeHr-R,13151,No,credit: @ dm me📲
2605,https://www.instagram.com/p/CAicLI7nPV7,13020,No,credit: @please comment or do for credit -
632,https://www.instagram.com/p/B9fAX1OBKGz,12884,No,credit @please comment or dm for credit no copyright intended
22,https://www.instagram.com/p/B_ICpo5nFT7,12863,Yes,credit:melissaanne12/tiktok
328,https://www.instagram.com/p/B7twBVhndWy,12855,No,credit: @tommytequilaofficial
1009,https://www.instagram.com/p/B9hrEAdnM5t,12843,No,credit @no copyright intended please dm or comment for credit
2771,https://www.instagram.com/p/B-pvk8THf8t,12790,No,credit @no copyright intended please dm or comment for credit *
531,https://www.instagram.com/p/B--P8Jghygz,12752,No,credit!
3542,https://www.instagram.com/p/B_-GfuUKjDh,12719,No,credits:@pyrocrafters @sosatisfying @_amy_grigg_
3509,https://www.instagram.com/p/CAaTvG-H18P,12700,No,credits:dm me
1925,https://www.instagram.com/p/B2mGqfZoTJS,12655,Yes,credit: @batt.ly 
486,https://www.instagram.com/p/B_iSUznBPUJ,12644,No,credit!
615,https://www.instagram.com/p/B9uUmeAh50m,12621,No,credit @please comment or dm for credit no copyright intended
2037,https://www.instagram.com/p/CAawjGyjKpq,12523,No,credits: @scottyryan_
775,https://www.instagram.com/p/CAVu9wHHhxb,12521,No,credit
352,https://www.instagram.com/p/CA5o9ADBHf9,12502,No,credit @please comment or dm for credit no copyright intended
597,https://www.instagram.com/p/B-DFpwwB8-Q,12499,No,credit @please comment or dm for credit no copyright intended
371,https://www.instagram.com/p/CAvBbH4hLzo,12348,No,credit @ crouzier benjamin on youtube
264,https://www.instagram.com/p/CAYTARtHHql,12143,No,credit: @fin_draper
2007,https://www.instagram.com/p/CA0wHz6jgiH,12130,No,credits: dm me
797,https://www.instagram.com/p/CAIoMSGH70j,12081,No,credit
2876,https://www.instagram.com/p/B89sjSDnRlJ,12064,No,credit @no copyright intended please dm or comment for credit
325,https://www.instagram.com/p/B71a_JvnffJ,12047,No,credit: @maddyy.harper
2654,https://www.instagram.com/p/CADu0EgnUMS,11966,No,credit
526,https://www.instagram.com/p/B_DAfUQh_9v,11950,No,credit!
1102,https://www.instagram.com/p/B8g2EHlHahL,11924,No,credit @macroroom *
409,https://www.instagram.com/p/CAVR8iBhavE,11890,No,credit @cznburak *
946,https://www.instagram.com/p/B-P-kHSH97J,11878,No,credit @dm for removal*
1050,https://www.instagram.com/p/B9Htf3FHuri,11852,No,credit or removal
2612,https://www.instagram.com/p/CAfsRw2HmIg,11735,No,credit
1478,https://www.instagram.com/p/CA0Uk7tB5EQ,11635,No,credit @dm for removal*
1778,https://www.instagram.com/p/B_u1MKHnMKq,11625,No,credit: iceasmr23/tiktok & hawaiikiid/tiktok
1086,https://www.instagram.com/p/B8t4UQtnxUY,11623,No,credit @please comment or dm for credit no copyright intended
149,https://www.instagram.com/p/B65y9UBH3kg,11602,Yes,credit: calm.asmrr/tiktok
811,https://www.instagram.com/p/B_-hMIGn38_,11577,No,credit
1126,https://www.instagram.com/p/B8RIFB5Hhf0,11566,No,credit @please comment or dm for credit no copyright intended
319,https://www.instagram.com/p/B8PPGKlHOPr,11509,No,credit: @alistaircsmith & @arbenl1berateme
2569,https://www.instagram.com/p/CA3CxI3nGwK,11463,No,credit
1970,https://www.instagram.com/p/B0EbE1jo9U1,11374,Yes,credit: @satisfyingnotcrying
36,https://www.instagram.com/p/B-my3xfHPCJ,11372,Yes,credit: sosatisfying/tiktok
539,https://www.instagram.com/p/B-5DaZ1B0LP,11356,No,credit!
1047,https://www.instagram.com/p/B9KMTEfHNFt,11318,No,credit @please comment or dm for credit no copyright intended
364,https://www.instagram.com/p/CAyHe7FB4BO,11302,No,credit @stornoway_fires *
1935,https://www.instagram.com/p/B2CTL7hoZJl,11301,Yes,credit: @ ? dm pls
740,https://www.instagram.com/p/CAvMu4KnTCt,11245,No,credit
2694,https://www.instagram.com/p/B_nBalwnCBV,11245,No,credit: @shkodraa.01 -
3641,https://www.instagram.com/p/B97E0kQD0YF,11149,No,credits: dm me
1136,https://www.instagram.com/p/B8Jy-hKHh-k,11145,No,credit @please comment or dm for credit no copyright intended
2070,https://www.instagram.com/p/B_xblSuDlNj,11125,No,credit: dm me —————————
2140,https://www.instagram.com/p/B9w7qwQhlcx,11091,No,credit: (unknown)
887,https://www.instagram.com/p/B_IXXLynOM6,11079,No,credit
2648,https://www.instagram.com/p/CAIqCFWnLDa,11076,No,credit
920,https://www.instagram.com/p/B-ppXYyn22U,11047,No,credit
1530,https://www.instagram.com/p/CAQkdBRBTv5,11029,No,credit @dm for removal*
3637,https://www.instagram.com/p/B-AOEesDUg8,11008,No,credits: @hydraulicpresschannel
2805,https://www.instagram.com/p/B-KuE84HRt_,10986,No,credit @no copyright intended please dm or comment for credit
1190,https://www.instagram.com/p/B7g5LZgnslV,10961,No,credit @no copyright intended please dm or comment for credit
3652,https://www.instagram.com/p/B9rnbcoCZ8j,10938,No,credits: @gelatinartmarket
469,https://www.instagram.com/p/B_sOJYfhnRv,10907,No,credit!
556,https://www.instagram.com/p/B-sHcTahBK3,10851,No,credit!
330,https://www.instagram.com/p/B7opyuqHRjX,10826,No,credit: @asmrcrackle
1826,https://www.instagram.com/p/B84MgwjnCmf,10801,Yes,credit: @unknown
2775,https://www.instagram.com/p/B-m5TBCnC3_,10781,No,credit @no copyright intended please dm or comment for credit *
513,https://www.instagram.com/p/B_P1T1tBGIE,10776,No,credit!
2133,https://www.instagram.com/p/B966LTMpbjL,10737,Yes,credit: @callenschaub
1096,https://www.instagram.com/p/B8l5mKen6uN,10728,No,credit @please comment or dm for credit no copyright intended
3521,https://www.instagram.com/p/CAQEpZgqmW-,10648,No,credits:@musiacally
2012,https://www.instagram.com/p/CAxiH62j6Yw,10645,No,credits: @royaljordanianrj
3543,https://www.instagram.com/p/B_9tACeqgWf,10612,No,credits:@kriod
2578,https://www.instagram.com/p/CAx4s9cnhIP,10574,No,credit: @jeanimbert -
2559,https://www.instagram.com/p/CA8GjbfnOT0,10572,No,credit: @redbull
490,https://www.instagram.com/p/B_ft2FTBAc8,10551,No,credit!
514,https://www.instagram.com/p/B_NpZ5Bhp0P,10537,No,credit!
1028,https://www.instagram.com/p/B9W5-55n3YC,10514,No,credit @no copyright intended please dm or comment for credit
0,https://www.instagram.com/p/CA3JQfAn96m,10512,No,credit: aesthetic.vids/tiktok
2889,https://www.instagram.com/p/B8wXG0gne_i,10457,No,credit @no copyright intended please dm or comment for credit
958,https://www.instagram.com/p/B-Fqoc5Hvzl,10456,No,credit @dm for removal*
1145,https://www.instagram.com/p/B8EIH1-nCyy,10406,No,credit @please comment or dm for credit no copyright intended
873,https://www.instagram.com/p/B_S2uGJnxfq,10348,No,credit
1170,https://www.instagram.com/p/B7y3ec9n7Lv,10339,No,credit @please comment or dm for credit no copyright intended
3483,https://www.instagram.com/p/CAyCxQVH4uN,10326,No,credits:dm me
2810,https://www.instagram.com/p/B-Fji0SJ7lN,10324,No,credit @no copyright intended please dm or comment for credit
603,https://www.instagram.com/p/B99ypY2BEJI,10263,No,credit @slimeobsidian *
1486,https://www.instagram.com/p/CAvMgMdhXsY,10260,No,credit @dm for removal*
1575,https://www.instagram.com/p/B_xt-_Shtor,10234,No,credit @dm for removal*
1965,https://www.instagram.com/p/B0iybsQFso8,10231,Yes,credit: @succulentbite 
